編號,答案,類近題目
9301,"第1題
✅ 答案：B

📌 詳細解釋：
四個選項中，只有草具備花。
Among the four options, only grass bears flowers.
松、冬菇及麵包黴則沒有花。
Pine, mushroom, and bread mould do not produce flowers.
草屬於被子植物，具花及種子；
Grass belongs to angiosperms, possessing both flowers and seeds.
松為裸子植物，只具種子而無花；
Pine is a gymnosperm with seeds but no flowers,
冬菇與麵包黴屬於真菌類，既不具花亦無葉綠素。
while mushrooms and mould are fungi lacking both flowers and chlorophyll.

📌 考試提醒：
分辨植物種類時，是否有花是被子植物的關鍵特徵之一；
When classifying plants, presence of flowers is a key feature of angiosperms.
真菌類並非植物，它們以吸收有機物為生。
Fungi are not true plants as they obtain nutrients by absorption.",
9302,"第2題
✅ 答案：D

📌 詳細解釋：
裸子植物具有種子及葉綠素，但沒有花。
Gymnosperms possess seeds and chlorophyll, but lack flowers.
植物 I 有花，因此是被子植物。
Plant I has flowers, so it should be an angiosperm.
植物 II 不具葉綠素，因此是菌類植物（真菌）。
Plant II lacks chlorophyll and is therefore a fungus.
植物 III 含葉綠素但沒有花與種子，可能是藻類、蕨類或苔蘚植物。
Plant III has chlorophyll but no seeds or flowers, so it could be algae, fern, or moss.

📌 考試提醒：
在植物分類中要注意三個主要特徵：是否有花、是否有種子、是否有葉綠素。
When identifying plant groups, focus on three main traits: presence of flowers, seeds, and chlorophyll.
這三項能快速區分出主要植物類群。
These three characteristics help distinguish all major plant divisions.",
9303,"第3題
📌 參考答案：C
💬 圖示顯示細胞分裂的過程屬於有絲分裂。
The diagram represents the process of mitosis.

💬 正確的階段順序應為：2（前期）→ 3（中期）→ 4（後期）→ 1（末期）。
The correct sequence of stages is 2 (prophase) → 3 (metaphase) → 4 (anaphase) → 1 (telophase).

💬 在該過程中，染色體首先凝縮，然後在赤道板排列，之後姐妹染色單體分離，被拉向兩極，最後細胞質分裂形成兩個相同的子細胞。
During mitosis, chromosomes condense, align at the equatorial plate, separate into sister chromatids moving to opposite poles, and the cytoplasm divides to form two identical daughter cells.

⚠️ 考試提醒：
要準確分辨各階段的特徵：前期→染色體出現；中期→排列於中央；後期→分離移動；末期→細胞核重組。
To differentiate mitotic phases: Prophase—chromosomes appear; Metaphase—line up at the equator; Anaphase—chromatids separate; Telophase—nuclear membranes reform.",
9304,"第4題
📌 參考答案：C
💬 有絲分裂用於形成皮膚細胞和紅血球（或其他體細胞）。
Mitosis occurs in the formation of skin cells and red blood cells (or other somatic cells).

💬 精子細胞屬於配子，應由減數分裂產生，帶有單倍體染色體組。
Sperm cells are gametes and are therefore produced through meiosis, resulting in haploid chromosome sets.

⚠️ 考試提醒：
分清兩種分裂：有絲分裂產生相同的體細胞；減數分裂則產生配子，染色體數減半。
Remember the distinction: mitosis produces identical body cells, whereas meiosis forms gametes with half the chromosome number.",
9305,"第5題
📌 參考答案：A
💬 只有小圓片 1 含有唾液，能分解澱粉。唾液含有澱粉酶，能將澱粉轉化為麥芽糖。
Only disc 1, which contains saliva, can digest starch. Saliva contains amylase, which converts starch into maltose.

💬 小圓片 2 含唾液與酸混合，pH 不適合酶作用，使其失活。唾液酶的最佳酸鹼值為 7。
Disc 2 contains saliva mixed with acid, making the pH unsuitable for enzyme activity. The optimum pH for salivary amylase is 7.

💬 小圓片 3 含經煮沸的唾液，酶已變性，喪失活性，因此無法消化澱粉。
Disc 3 contains boiled saliva, so the enzyme has been denatured and cannot digest starch.

💬 小圓片 4 只含水，完全無消化作用。
Disc 4 contains only water, which does not digest starch.

⚠️ 考試提醒：
要懂得判斷酶活性的條件：酶需適當pH和溫度，高溫或酸鹼失衡均會導致變性失活。
Be sure to remember the enzyme conditions: enzymes require optimal pH and temperature, and extremes can cause denaturation and loss of activity.",
9306,"第6題
📌 參考答案：D（題目已刪除）
💬 數分鐘後，澱粉區域變成均勻藍黑色，原因並非糖分重新合成澱粉，也不是空氣或唾液造成變色。
After a few minutes, the whole starch region turns blue-black not because sugar recombines into starch or air causes colour change.

💬 唾液中的澱粉酶仍會繼續作用，若測試時空氣接觸或糖已生成，都不會導致澱粉再出現藍黑反應，因此題目被撤回。
Amylase in saliva continues acting on starch, and neither air exposure nor sugar formation would produce the blue-black colour from the iodine test, thus the question was deleted.

⚠️ 考試提醒：
澱粉與碘液作用呈現藍黑色，而若澱粉被分解成麥芽糖，顏色則消失。理解此點對化學檢測題關鍵。
Remember: starch gives a blue-black colour with iodine, but this disappears when starch is digested into maltose—a crucial concept for interpretation questions.",
9307,"第7題
📌 參考答案：A
💬 細胞壁由纖維素構成，能讓水自由通過，因此不具選擇性滲透性。
The cell wall is made of cellulose and is freely permeable to water, so it does not show selective permeability.

💬 相反地，細胞膜才是選擇性滲透膜，可控制物質進出細胞。
In contrast, the cell membrane is selectively permeable and regulates the movement of substances into and out of the cell.

⚠️ 考試提醒：
分清**細胞壁（cell wall）與細胞膜（cell membrane）**的功能：前者提供支撐與保護，後者才決定物質通透性。
Be sure to differentiate between the cell wall (for support and protection) and the cell membrane (controls permeability).",
9308,"第8題
📌 參考答案：A
💬 溶液 I 中薯塊的質量增加最多，顯示外液水勢最高。
The mass of the potato piece in solution I increases the most, indicating solution I has the highest water potential.

💬 溶液 II 的質量減少最多，因此其水勢最低。溶液 IV 質量不變，顯示其為等滲溶液。
Solution II shows the greatest loss in mass and thus has the lowest water potential, while solution IV is isotonic, showing no net change.

⚠️ 考試提醒：
水分總是由高水勢流向低水勢，質量變化方向可用作判斷外界溶液水勢高低。
Water always moves from higher to lower water potential; thus, the direction of mass change indicates relative water potential.",
9309,"第9題
📌 參考答案：D
💬 幼嫩草本植物缺乏堅硬的木質素或樹皮支撐，依靠細胞的膨脹壓來維持挺立。
Young herbaceous plants lack lignin or strong bark for support and rely on cell turgidity to stay upright.

💬 當水分不足時，細胞失去膨脹壓而變得萎縮，整株植物便會下垂。
When water is scarce, cells lose turgor pressure and become flaccid, causing wilting.

⚠️ 考試提醒：
理解「膨脹壓（turgor pressure）」對植物支撐的重要性，是解釋「萎縮與挺立」現象的關鍵。
Understanding turgor pressure is vital—it explains why plant cells keep structure or wilt under water loss.",
9310,"第10題
📌 參考答案：A
💬 管（1）與管（2）的液面均會下降。兩者內部液體水勢高於外界10%蔗糖溶液，水分會由管內滲出。
The liquid levels in both tubing (1) and (2) fall because the internal solutions have higher water potentials than the external 10% sucrose solution, so water moves out by osmosis.

💬 外液水勢較低，造成水分外流，液面因此下降。
As water moves out towards the lower water potential solution, the level inside the tube decreases.

⚠️ 考試提醒：
在滲透實驗中判斷水流方向時，記住：水總從高水勢（稀釋溶液）移向低水勢（濃溶液）。
In osmosis experiments, always recall: water moves from high water potential (dilute solution) to low water potential (concentrated solution).",
