ç·¨è?,ç­”æ?,é¡žè?é¡Œç›®
0201,"²Ä1ÃD
?? °Ñ¦Òµª®×¡GC


?? ¸Ô²Ó¸ÑÄÀ¡G
¥Íª«¤ÀÃþªº¥D­n¨Ì¾Ú¬O¥¦­Ìªºµ²ºc¬Û¦ü©Ê¡A¦]¬°µ²ºc¯à¤Ï¬M¥Íª«¤§¶¡ªº¶i¤ÆÃö«Y¡C
The classification of organisms is primarily based on their similar structural features, as structures reveal evolutionary relationships between species.

¿ï¶µ?A¡u¥i¦b¬Û¦üªº¥Í¹Ò¤º§ä¨ì¡v¿ù»~¡A¦]¬°¤£¦Pª«ºØ§Y¨Ï¥Í¬¡¦b¬Û¦üÀô¹Ò¡A¤]¤£¤@©w¦³¿Ë½tÃö«Y¡C
Option?A?is incorrect because unrelated species can occupy similar habitats without sharing evolutionary ancestry.

¿ï¶µ?B¡u¦³¬Û¦üªº¦æ¬°¡v¤]¤£·Ç½T¡A¦æ¬°¥i¯à¨üÀô¹Ò¼vÅT¡A¨Ã«D¥i¾aªº¤ÀÃþ¨Ì¾Ú¡C
Option?B?is also wrong since behavior can be shaped by environment and is not a consistent taxonomic criterion.

¿ï¶µ?D¡u¶i­¹¬Û¦üªº­¹ª«¡vÄÝ©ó¥ÍºA¼h­±ªº¬Û¦ü¡A»P¥Íª«ºc³yµLª½±µÃöÁp¡C
Option?D?refers to ecological similarity (diet), not biological morphology.

¦]¦¹¡A¤ÀÃþ¾Çªº°òÂ¦¬O§ÎºA»Pµ²ºcªº¬Û¦ü©Ê¡C
Therefore, taxonomy is based on morphological and structural similarities.

?? ¦Ò¸Õ´£¿ô¡G
¦Ò¨ì¤ÀÃþ­ì«h®É¡A¤Á°O¤ÀÃþ¬O®Ú¾Ú§ÎºAµ²ºc»P¿ò¶ÇÃö«Y¡A¦Ó«D¦æ¬°©Î¥Í¹Ò¡C
When answering taxonomy questions, always emphasize morphology and genetics, not behavior or habitat.",
0202,"²Ä2ÃD
?? °Ñ¦Òµª®×¡GB


?? ¸Ô²Ó¸ÑÄÀ¡G
(1) ¦³ªá´Óª«ªº­F¯]¨üºë«áµo¨|¦¨ºØ¤l¡A©Ò¥H(1)¬O¥¿½Tªº¡C
(1) In flowering plants, the ovule develops into a seed after fertilization, so this is correct.

(2) ¤l©Ð¨üºë«á§Î¦¨ªG¹ê¡AªG¹ê¤¤¥]»qµÛºØ¤l¡A¦]¦¹(2)¤]¬O¥¿½Tªº¡C
(2) The ovary becomes the fruit after fertilization, enclosing the seeds inside, so this statement is also correct.

(3) ³\¦h¦³ªá´Óª«¯à¥HÀç¾iÁc´Þ¤è¦¡µL©Ê¥Í´Þ¡A¨Ò¦p°¨¹aÁ¦©M¯ó²ù¡A¦]¦¹(3)¿ù»~¡C
(3) Many flowering plants can reproduce asexually by vegetative propagation (e.g. potatoes, strawberries), so this is incorrect.

µLªá´Óª«ÁöµL¤l©Ð»Pªá¡A¦ý¤´¥i¸g¨üºë¥Í¦¨ºØ¤l¡A¨Ò¦p»r¤l´Óª«¡C
Non-flowering plants like gymnosperms still carry out fertilization but do not form ovaries or fruits.

?? ¦Ò¸Õ´£¿ô¡G
­n°Ï¤À¡uºØ¤l¡v»P¡uªG¹ê¡vªº¨Ó·½¡GºØ¤l¥Ñ­F¯]§Î¦¨¡AªG¹ê¥Ñ¤l©Ð§Î¦¨¡C
Remember the distinction: seeds come from ovules, fruits from ovaries.",
0203,"²Ä3ÃD
?? °Ñ¦Òµª®×¡GA


?? ¸Ô²Ó¸ÑÄÀ¡G
¤j³¡¤À²Ó­M¥»¨­µL¦â¡A¦]¦¹¶·¤W¬V¦â¾¯¥H¼W¥[¹ï¤ñ¡A¨Ï²Ó­M®Ö§ó²M´·¡C
Most cells are colorless, so staining enhances contrast to make the nucleus more visible.

¿ï¶µ?B?¡u¨Ï¥Î¸ûÁ¡¬Á¤ù¡v¶È¯à§ïµ½¥ú½u¬ï³z¡A«oµLªkÅãµÛ´£°ª®Öªº¥i¨£«×¡C
Option?B?only improves light transmission but not nucleus visibility.

¿ï¶µ?C?¡u¼W¥[¥ú·Ó«G«×¡v·|¨Ï¼v¹³¹LÃn¦Ó¥¢¯u¡A¤Ï¦Ó¤£§QÆ[¹î¡C
Option?C?may cause over-illumination, resulting in glare and reduced clarity.

¿ï¶µ?D?¡u½Õ¾ãÅã·LÃè¶ZÂ÷¡v¥u¬O»EµJ¡A¤£¯à¯u¥¿Åý²Ó­M®Ö§ó©úÅã¡C
Option?D?concerns focusing distance and does not increase nucleus visibility.

?? ¦Ò¸Õ´£¿ô¡G
Æ[¹îµL¦â²Ó­M®ÉÀ³±Ä¥Î¬V¦âªk¡A¨Ò¦p¨Ï¥Î¸K²G©Î¨È¥ÒÂÅ¡C
When observing colorless cells, use stains like iodine or methylene blue to enhance contrast.
",
0204,"²Ä4ÃD
?? °Ñ¦Òµª®×¡GB


?? ¸Ô²Ó¸ÑÄÀ¡G
®Ú¤ò²Ó­M©M¸­¦×²Ó­M³£¬O¬¡²Ó­M¡A¦ý¥u¦³¸­¦×²Ó­M§t¸­ºñÅé¡A¥i¦æ¥ú¦X§@¥Î¡C
Both root hair cells and mesophyll cells are living, but only mesophyll cells contain chloroplasts for photosynthesis.

¿ï¶µ?A?¿ù¡A®Ú¤ò²Ó­M¤£¬O¦º²Ó­M¡C
Option?A?is incorrect since root hair cells are not dead.

¿ï¶µ?C?³¡¤À¥¿½T¦ý¤£¨ã°Ï¤À¤O¡A¨âªÌ³£¯à§l¤ô©Î¿é°e¾i¤À¡C
Option?C?is partially true but does not distinguish the two clearly¡Xboth can absorb or transport materials.

¿ï¶µ?D?¿ù¡A¨âªÌ¬Ò¦ì©óªí¥Ö¼h¡A§¡¦³¨¤½è¼hÂÐ»\¡C
Option?D?is wrong because both are epidermal derivatives covered by a cuticle.

?? ¦Ò¸Õ´£¿ô¡G
°Ï¤À´Óª«²Ó­M®É¡A­nÃöª`¬O§_¨ã¦³¸­ºñÅé»P¥D­n¥\¯à¡C
When distinguishing plant cells, focus on presence of chloroplasts and their main physiological roles.
",
0205,"²Ä5ÃD
?? °Ñ¦Òµª®×¡GB

?? ¸Ô²Ó¸ÑÄÀ¡G
¥ú¦X§@¥Î¤¤¡A¤ôÄ¦¸g¥ú¤ÏÀ³§â¤ô¤À¸Ñ²£¥Í®ñ®ð¡]®ðÅé?X¡^¡A¦Ó¦b·t¤ÏÀ³¤¤¡A¤G®ñ¤ÆºÒ³Q©T©wÂà¤Æ¬°¸²µå¿}¡C
In photosynthesis, water is split during the light reaction to release oxygen (gas?X); meanwhile, in the dark reaction, carbon dioxide is fixed to form glucose.

¤ÏÀ³¤èµ{¦¡¦p¤U¡G
The reactions are as follows:
2H?O ¡÷ 4H? + O? (in light)
6CO? + 24H ¡÷ C?H??O? + 6H?O

¦]¦¹¡A®ðÅé?X?¬O®ñ®ð¡A¦Ó¾ý¯»¬O¥Ñ¸²µå¿}»E¦X§Î¦¨¡C
Therefore, gas?X?is oxygen, and starch is synthesized from glucose via polymerization.

¿ï¶µ?A?¿ù¡A¤ô¤£·|§@¬°¤ÏÀ³²£ª«ÄÀ¥X¡C
Option?A?is wrong because water is not the gas released.
¿ï¶µ?C?»P?D?¬Ò¿ù¡A¦]¬°¥ú¦X§@¥Î¤£·|ª½±µ²£¥Í¤G®ñ¤ÆºÒ¡C
Options?C?and?D?are incorrect as carbon dioxide is a reactant, not a product.

?? ¦Ò¸Õ´£¿ô¡G
±`¦Ò¡u¥ú¤ÏÀ³²£ª«¡v»P¡u·t¤ÏÀ³²£ª«¡vªº°Ï¤À¡A®ðÅé®ñ(O?)»P¾ý¯»ªº¨Ó·½¶·¯S§O²M·¡¡C
Be ready to distinguish between light reaction (produces O?) and dark reaction (produces glucose/starch).",
0206,"²Ä6ÃD
?? °Ñ¦Òµª®×¡GC


?? ¸Ô²Ó¸ÑÄÀ¡G
´ú¸Õ¸­¤ù¬O§_§t¾ý¯»®É¡A¥¿½T¨BÆJ¬°¡G
To test for starch presence, the correct sequence is:

(1) ¥ý±N¸­¤ùµNªm¥H±þ¦º²Ó­M¡A¨Ï²Ó­M½¤§ó©öº¯³z¡C
Boil the leaf to kill cells and break down membranes for reagent penetration.

(2) ±N¸­¤ù©ñ¤J¼ö°sºë¤¤¥[¼ö¡A¥H°£¥h¸­ºñ¯À¡A¨Ï¸­¤ù²æ¦â¡C
Place the leaf in hot alcohol to remove chlorophyll and decolorize it.

(3) ¦A®û¤J·Å¤ô³n¤Æ¸­¤ù¡A¥H¨¾°sºë¨Ï¨äÅÜ¯Ü¡C
Soak it in warm water to soften the leaf after alcohol treatment.

(4) ³Ì«á¥[¸K²G¡A­Y¦³¾ý¯»¡A¸­¤ù·|ÅÜ¦¨ÂÅ¶Â¦â¡C
Finally, add iodine solution¡Xthe leaf turns blue-black if starch is present.

¦]¦¹¥¿½T¶¶§Ç¬°¡G(2) ¡÷ (4) ¡÷ (3) ¡÷ (1)¡C
Hence, the correct order is (2) ¡÷ (4) ¡÷ (3) ¡÷ (1).

?? ¦Ò¸Õ´£¿ô¡G
­n°O±o°sºë¥[¼ö­n¨Ï¥Î¤ô¯Dªk¡A¨¾¤î¤õµKÂI¿U¡I¦¹¥~°£ºñ¯À¨BÆJ¬O¬°¤FÅýÃC¦âÅÜ¤Æ§ó©úÅã¡C
Remember to use a water bath for heating alcohol (flammable!), and chlorophyll removal enhances visibility of the blue-black color change.",
0207,"²Ä7ÃD
?? °Ñ¦Òµª®×¡GC

?? ¸Ô²Ó¸ÑÄÀ¡G
¤TÀY¦Ù©ó¼@¯P¹B°Ê®É¦]®ñ®ð¨ÑÀ³¤£¨¬¡A·|¶i¦æ¨Å»Äµo»Ã¡AÄÝ©óµL®ñ©I§l¡C
Biceps perform lactic acid fermentation during vigorous exercise when oxygen supply is insufficient, which is a form of anaerobic respiration.

»Ã¥Àµß¦b¯Ê®ñÀô¹Ò¤U·|¶i¦æ°sºëµo»Ã¡A¤]ÄÝµL®ñ©I§l¡C
Yeast carries out alcoholic fermentation under anaerobic conditions, which is also anaerobic respiration.

¤ì½è¾ÉºÞ¥Ñ¦º²Ó­Mºc¦¨¡AµL²Ó­M½è¡A¤]µLªk¶i¦æ¥ô¦ó©I§l§@¥Î¡A¦]¦¹(3)¿ù»~¡C
Xylem vessels are made of dead cells without cytoplasm, so they cannot perform respiration, making (3) incorrect.

?? ¦Ò¸Õ´£¿ô¡G
µªÃD®É­n°Ï¤À°Êª«µL®ñ©I§l¡]¨Å»Ä«¬¡^©M»Ã¥ÀµL®ñ©I§l¡]°sºë«¬¡^¡C
Distinguish clearly between lactic acid fermentation in animals and alcoholic fermentation in yeast.",
0208,"²Ä8ÃD
?? °Ñ¦Òµª®×¡GA

?? ¸Ô²Ó¸ÑÄÀ¡G
°·±d¤Hªº§¿²G§t¦³¥D­n±Æªnª«§¿¯À¡A¬°³J¥Õ½è¤À¸Ñ²£ª«¡A³q¹LµÇÅ¦±Æ¥X¡C
In healthy individuals, urine mainly contains urea ¡X a protein breakdown product excreted via the kidneys.

¿ï¶µ?B?ÁT«K¤¤ªº²Ó­M¥u¬O¸z¾À²æ¸¨ªº¤W¥Ö²Ó­M¡A¨Ã«D¥¿±`§¿²G¦¨¤À¡C
Option?B?is incorrect because cells in faeces are shed epithelial cells from the intestine, not components of urine.

¿ï¶µ?C?²ÓµßÄÝ©ó¸z¤º·L¥Íª«¸s¡A¤]¤£À³¥X²{¦b§¿²G¤¤¡C
Option?C?is wrong since bacteria in faeces belong to gut flora, not urine.

¿ï¶µ?D?Áx¦â¯À¥ÑÁx¥Ä±Æ¤J¸z¹D¡A«D¸g§¿²G±Æ¥X¡C
Option?D?is incorrect because bile pigments are excreted through bile, not urine.

?? ¦Ò¸Õ´£¿ô¡G
¥¿±`§¿²G¥D­n¦¨¤À¬O¤ô¡B§¿¯À¡BÆQ¤À¡A­Y¦³¦å²G©Î¿}¥X²{¡A¥Nªí¯fÅÜ¡C
Normal urine contains water, urea, and salts; presence of blood or glucose indicates a disorder.
",
0209,"²Ä9ÃD
?? °Ñ¦Òµª®×¡GA

?? ¸Ô²Ó¸ÑÄÀ¡G
¸Ó¬V¦âÅé¹ÏÅã¥Ü¤T±ø²Ä21¸¹¬V¦âÅé¡A¨Ã¦³Y¬V¦âÅé¡Aªí¥Ü¬°¨k©Ê­ð¤óºî¦X¯g±wªÌ¡C
The karyotype shows three chromosome-21s and a Y chromosome, indicating a male with Down¡¦s syndrome (trisomy 21).

©Ò¦³Åé²Ó­M§¡¨ã¬Û¦P¬V¦âÅé²Õ¡A¦]¦¹(2)¥¿½T¡C
All somatic cells possess the same chromosome set, so (2) is correct.

µM¦Ó¥u¦³·í¥Í´Þ²Ó­M¨ü¦¹²§±`¼vÅT®É¡A¤~·|¿ò¶Çµ¹¤U¤@¥N¡A¦]¦¹(3)¿ù»~¡C
However, the condition is hereditary only if the germ cells carry the abnormality, so (3) is false.

?? ¦Ò¸Õ´£¿ô¡G
¿ëÃÑ®Ö«¬¹Ï®É­n¯d·N©Ê¬V¦âÅé¨M©w©Ê§O¡]XX©ÎXY¡^»P¬V¦âÅé¼Æ¥Ø²§±`¬O§_¬°Åé¬V¦âÅé¡]¦p21¸¹¡^¡C
When interpreting a karyotype, check sex chromosomes (XX/XY) and autosomal abnormalities (e.g. chromosome 21) carefully.
",
0210,"²Ä10ÃD
?? °Ñ¦Òµª®×¡GA

?? ¸Ô²Ó¸ÑÄÀ¡G
¨§Ãþ§t´Óª«³J¥Õ¡A¯×ªÕ§t¶q»·§C©ó¦×Ãþ©M³JÃþ¡A¦]¦¹¸û°·±d¡C
Legumes are rich in plant protein but much lower in fat than meat and eggs, making them a healthier option.

¿ï¶µ?B?¿ù¡A¨§Ãþ³J¥Õ½è§t¶q°ª¦ý«D¡u¸û¦h¡v¡C
Option?B?is wrong as beans are rich in protein, not richer than meat.

¿ï¶µ?C?¿ù¡A¨§ÃþÁö§tÓi°ò»Ä¦ý¤£¤ñ¦×Ãþ¦h¡C
Option?C?is incorrect ¡X while beans contain amino acids, they are not more abundant than in animal protein.

¿ï¶µ?D?¿ù¡A¨§Ãþ¤Ï¦Ó´I§t¿¯­¹ÅÖºû¡A¦Ó«D¯Ê¤Ö¡C
Option?D?is incorrect ¡X legumes are rich in dietary fibre, not lacking it.

?? ¦Ò¸Õ´£¿ô¡G
´Óª«³J¥Õ¬Û¹ï¯×ªÕ§t¶q§C¡A¬G¬O¯À­¹ªÌ©M´î­«ªÌªº¥D­n³J¥Õ½è¨Ó·½¡C
Plant proteins are low in fat, thus an important source for vegetarians and those managing weight.
",
